Ngày,Giải Đặc BIệt,Giải Nhất,Giải Nhì,Giải Ba,Giải Tư,Giải Năm,Giải Sáu,Giải Bảy
18-03-2018,58038,30473,"{02353, 99831}","{06306, 73073, 95081, 50799, 52033, 95033}","{7236, 3392, 2630, 0744}","{8375, 7012, 1923, 6954, 5704, 3545}","{005, 559, 489}","{05, 12, 99, 60}"
19-03-2018,08294,53318,"{67613, 47624}","{45715, 36443, 53579, 13119, 63396, 64525}","{5127, 4584, 1442, 5678}","{5610, 4718, 4781, 5593, 7986, 9633}","{692, 037, 840}","{85, 83, 62, 47}"
20-03-2018,61165,44567,"{27798, 30957}","{77438, 90113, 86427, 52833, 20583, 52033}","{6943, 4927, 0344, 0106}","{5148, 8712, 7925, 4946, 9146, 3357}","{840, 332, 188}","{37, 36, 33, 77}"
21-03-2018,68585,78440,"{94846, 83179}","{52448, 35972, 07845, 95599, 08865, 64268}","{9181, 7003, 6324, 5539}","{1648, 2350, 3563, 0687, 8035, 6740}","{185, 205, 703}","{30, 90, 66, 96}"
22-03-2018,29539,92285,"{36698, 32134}","{25800, 62200, 92988, 89923, 96095, 31680}","{0834, 2474, 5278, 0473}","{2230, 3020, 9906, 1647, 4871, 1894}","{178, 641, 625}","{16, 81, 71, 82}"
23-03-2018,14613,30643,"{47296, 64127}","{07452, 59434, 33491, 29432, 52160, 63793}","{7248, 0359, 8346, 6404}","{4967, 1317, 4677, 8187, 1505, 2217}","{192, 442, 506}","{34, 76, 99, 26}"
24-03-2018,05545,79663,"{59815, 06489}","{12737, 03519, 00128, 81465, 26013, 57782}","{7986, 9249, 7349, 9397}","{1544, 4367, 5667, 8413, 2811, 4317}","{251, 315, 489}","{67, 85, 97, 09}"
25-03-2018,96594,37031,"{48755, 54059}","{64822, 14429, 05518, 87777, 12215, 51378}","{1427, 5481, 4571, 9027}","{8657, 1756, 9798, 0143, 7424, 7734}","{772, 877, 409}","{93, 21, 02, 87}"
26-03-2018,07223,61711,"{46855, 95485}","{73737, 84609, 41964, 12536, 62049, 18346}","{3979, 5828, 3379, 9170}","{9326, 2811, 8997, 8427, 1850, 8596}","{869, 181, 503}","{62, 55, 04, 69}"
27-03-2018,18467,74831,"{62798, 41578}","{49359, 94345, 36789, 21770, 63082, 39644}","{7280, 7650, 3258, 4403}","{3450, 5707, 6461, 8929, 0875, 5656}","{924, 622, 968}","{67, 22, 18, 12}"
